rx_error,ry_error,rz_error,T_error,K_error,D_error,pix_perturb,vec_perturb
0.25,0.0,0.0,0.0,0.0,0.0,7.5768049036922545,0.34592278288749956
0.5,0.0,0.0,0.0,0.0,0.0,14.117479027354339,0.6454507559462964
0.75,0.0,0.0,0.0,0.0,0.0,20.759181329455178,0.9470007825027443
1.0,0.0,0.0,0.0,0.0,0.0,27.493866874472342,1.2546144050350116
1.25,0.0,0.0,0.0,0.0,0.0,34.32866856185335,1.5680583383465865
1.5,0.0,0.0,0.0,0.0,0.0,41.246051226462335,1.8873469586205593
0.0,0.25,0.0,0.0,0.0,0.0,10.906144620461841,0.5260474071994204
0.0,0.5,0.0,0.0,0.0,0.0,20.746740841088602,0.9991844045454364
0.0,0.75,0.0,0.0,0.0,0.0,30.562428904078157,1.4714289171565385
